,Name,epoch,_runtime,test_loss,test_accuracy,expected_gradient_norm,fraction_single_pixel_polygons,smoothness_squared_penalty_per_polygon,num_polygons,train_accuracy,total_num_interpolations,smoothness_squared_penalty,_wandb,val_loss,_timestamp,train_loss,val_accuracy,trainer/global_step,fraction_polygons_counted,_step,smoothness_penalty,smoothness_penalty_per_polygon,cpu,group,aa-seed,aa_seed,dropout,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-hidden-layers,num_hidden_layers,num-interpolations,num_interpolations,hidden_group_channels,full-conv-hidden-channels,full_conv_hidden_channels,sanity_check_equivariance
41,group=translate_H-full_conv_hc=19-bn=True-drop=0.0-seed8,35,1263.7402365207672,0.1259823441505432,0.9595999717712402,14.772971940527343,0.04699666528562468,0.7037996350672826,18683.0,0.9677734375,7500000.0,12685.250851652536,{'runtime': 1262},0.13234548270702362,1709149519.4263363,0.08272429555654526,0.9680991172790528,1680,0.002491066666666667,1725,4995.046519161115,0.26623846665073037,False,translate_H,8,8,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=19-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,931,19,19,False
42,group=trivial-full_conv_hc=19-bn=True-drop=0.0-seed8,42,947.5650210380554,0.20292286574840543,0.9340999722480774,13.471071595833331,0.04064118841665178,0.2327021757180449,62499.0,0.9423828125,7500000.0,14294.669997613604,{'runtime': 946},0.20436249673366547,1709148206.394204,0.18109852075576785,0.9442284107208252,2016,0.008333199999999999,2067,10431.747832438065,0.16719671855780532,False,trivial,8,8,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=19-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,931,19,19,False
43,group=translate_HW-full_conv_hc=7-bn=True-drop=0.0-seed8,26,786.6883738040924,0.12240703403949738,0.9617000222206116,17.688024423242187,0.06145795694712097,3.553655145038585,6926.0,0.9873046875,7500000.0,22336.803924728745,{'runtime': 785},0.13087303936481476,1709148240.053656,0.05013396963477135,0.9771267175674438,1248,0.0009234666666666664,1284,5820.247282182332,0.8538029227293833,False,translate_HW,8,8,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=7-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,343,7,7,False
44,group=translate_H-full_conv_hc=7-bn=True-drop=0.0-seed8,18,707.5348010063171,0.1933763325214386,0.9376000165939332,11.874581133105467,0.038528988942394274,0.9092930769186982,27546.0,0.939453125,7500000.0,25076.009829270843,{'runtime': 706},0.2039780616760254,1709147244.289987,0.1819976419210434,0.946121871471405,864,0.003672799999999999,891,12518.723072449791,0.4537630459798603,False,translate_H,8,8,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=7-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,343,7,7,False
45,group=trivial-full_conv_hc=7-bn=True-drop=0.0-seed8,51,727.5753195285797,0.1979582756757736,0.9348000288009644,12.53420129280599,0.02579054181566492,1.4673146262007264,5941.0,0.9404296875,7500000.0,8427.91331638628,{'runtime': 726},0.20254932343959808,1709147436.9968376,0.16007864475250244,0.9401034712791444,2448,0.0007921333333333334,2509,2619.551353361536,0.44276188736300154,False,trivial,8,8,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=7-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,343,7,7,False
46,group=translate_HW-full_conv_hc=3-bn=True-drop=0.0-seed8,29,837.0952548980713,0.18735042214393616,0.944100022315979,12.317508016959636,0.03514577688111352,3.057142080512285,10876.0,0.9501953125,7500000.0,32019.256282522605,{'runtime': 835},0.1976920515298843,1709146520.1614928,0.1453111618757248,0.9509568810462952,1392,0.001450133333333333,1430,12330.313919167966,1.144341305130748,False,translate_HW,8,8,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=3-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,147,3,3,False
47,group=translate_H-full_conv_hc=3-bn=True-drop=0.0-seed8,56,848.130913734436,0.20403678715229032,0.9351000189781188,13.488273573209636,0.05809129386600652,5.081592416875251,2527.0,0.93359375,7500000.0,12208.120379403566,{'runtime': 847},0.21310210227966309,1709146691.3561358,0.21535438299179077,0.9399005770683287,2688,0.0003369333333333333,2754,2807.6243450255133,1.116637227425342,False,translate_H,8,8,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=3-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,147,3,3,False
48,group=trivial-full_conv_hc=3-bn=True-drop=0.0-seed8,70,936.311737537384,0.24807314574718475,0.9197999835014344,14.09564244182943,0.03462989729803499,3.228488951634835,9196.0,0.9208984375,7500000.0,31591.360085346565,{'runtime': 934},0.26079970598220825,1709145663.8174095,0.24378052353858948,0.9270861744880676,3360,0.0012261333333333333,3439,8711.708587410161,0.9404348611313396,False,trivial,8,8,0,True,1024,True,1024,-1,-1,group=trivial-full_conv_hc=3-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,147,3,3,False
49,group=translate_HW-full_conv_hc=1-bn=True-drop=0.0-seed8,85,1283.4584338665009,0.33975133299827576,0.8916000127792358,14.332222226269533,0.03801736956556411,20.649880747042275,3246.0,0.91015625,7500000.0,70589.69742695196,{'runtime': 1282},0.3545414209365845,1709144706.8591268,0.2638757824897766,0.8964024782180786,4080,0.0004327999999999999,4174,9728.59082450904,2.925125741370633,False,translate_HW,8,8,0,True,1024,True,1024,-1,-1,group=translate_HW-full_conv_hc=1-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,49,1,1,False
50,group=translate_H-full_conv_hc=1-bn=True-drop=0.0-seed8,44,792.0739257335663,0.5637792348861694,0.8134999871253967,10.482712314355467,0.031856887843671015,7.933774092845421,3032.0,0.8349609375,7500000.0,23743.63355949784,{'runtime': 790},0.5744279623031616,1709143408.9194777,0.5202605128288269,0.825652539730072,2112,0.00040426666666666666,2165,5662.6260821342,1.891104358335707,False,translate_H,8,8,0,True,1024,True,1024,-1,-1,group=translate_H-full_conv_hc=1-bn=True-drop=0.0-seed8,True,True,False,,5,5,750000,750000,49,1,1,False
