,Name,fraction_single_pixel_polygons,val_loss,num_polygons,test_accuracy,smoothness_penalty,train_loss,smoothness_squared_penalty_per_polygon,smoothness_penalty_per_polygon,epoch,val_accuracy,train_accuracy,total_num_interpolations,_timestamp,trainer/global_step,expected_gradient_norm,fraction_polygons_counted,_step,_wandb,_runtime,test_loss,smoothness_squared_penalty,cpu,group,aa-seed,aa_seed,dropout,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-hidden-layers,num_hidden_layers,num-interpolations,num_interpolations,hidden_group_channels,full-conv-hidden-channels,full_conv_hidden_channels,sanity_check_equivariance
30,group=translate_HW-full_conv_hc=49-bn=False-drop=0.0-seed17,0.055185814533383094,0.10409907251596452,208273.0,0.9703999757766724,43804.19851166289,0.011447620578110218,0.2829066876000873,0.2105593395675937,19.0,0.991902232170105,0.9951171875,7500000.0,1709414879.7601109,912.0,25.837412079231775,0.02776973333333333,940.0,{'runtime': 5998},5999.738023757935,0.1058257445693016,58860.74077397139,False,translate_HW,17,17,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=49-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,2401.0,49,49,False
31,group=translate_H-full_conv_hc=49-bn=False-drop=0.0-seed17,0.051635704731748465,0.11181292682886124,179412.0,0.963800013065338,23077.172790132463,0.06554117053747177,0.10600237861277016,0.1286917597518062,44.0,0.9759771227836608,0.9775390625,7500000.0,1709411445.828715,2112.0,19.148981614257817,0.0239216,2166.0,{'runtime': 3240},3241.683172225952,0.1201632171869278,18697.785194962824,False,translate_H,17,17,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=49-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,2401.0,49,49,False
32,group=trivial-full_conv_hc=49-bn=False-drop=0.0-seed17,0.04916174057279539,0.14242514967918396,148689.0,0.9524000287055968,12971.732642535237,0.118536114692688,0.09455913989331922,0.08665698983603629,61.0,0.9566202163696288,0.96484375,7500000.0,1709408861.0102751,2928.0,18.67684152421875,0.0198252,2998.0,{'runtime': 2336},2337.3416891098022,0.15090839564800262,14267.559340623848,False,trivial,17,17,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=49-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,2401.0,49,49,False
33,group=translate_HW-full_conv_hc=19-bn=False-drop=0.0-seed17,0.04455313807037874,0.1253163516521454,90029.0,0.960099995136261,35972.83904639492,0.04421905800700188,0.6567298243127613,0.3968415384896806,13.0,0.9835677742958068,0.9814453125,7500000.0,1709408185.4750848,624.0,19.474031215234373,0.012003866666666665,647.0,{'runtime': 1877},1879.0405337810516,0.13147279620170593,59946.855213777075,False,translate_HW,17,17,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=19-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,931.0,19,19,False
34,group=translate_H-full_conv_hc=19-bn=False-drop=0.0-seed17,0.04342944930730687,0.13682717084884644,79634.0,0.9537000060081482,21810.401038309617,0.06968037039041519,0.3486574110702786,0.27304284318522765,35.0,0.9695868492126464,0.974609375,7500000.0,1709406505.1571095,1680.0,15.385392839908851,0.010617866666666666,1724.0,{'runtime': 1264},1265.9683537483215,0.1397911161184311,28105.64709024529,False,translate_H,17,17,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=19-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,931.0,19,19,False
35,group=trivial-full_conv_hc=19-bn=False-drop=0.0-seed17,0.04251576493976684,0.15911085903644562,71022.0,0.9452000260353088,12818.88210621725,0.16529899835586548,0.2088104841150785,0.17722795189369203,53.0,0.9530362486839294,0.955078125,7500000.0,1709406290.8848307,2544.0,14.720045749902344,0.0094696,2607.0,{'runtime': 1050},1052.058038711548,0.16989724338054657,15068.40917969072,False,trivial,17,17,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=19-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,931.0,19,19,False
36,group=translate_HW-full_conv_hc=7-bn=False-drop=0.0-seed17,0.04124514039024929,0.15376244485378265,31626.0,0.9498000144958496,20718.01516533748,0.07508546859025955,1.6960638420515994,0.6532584100237102,14.0,0.9698066115379332,0.9794921875,7500000.0,1709405223.324608,672.0,15.633507593815104,0.0042168,695.0,{'runtime': 789},790.6747341156006,0.15634414553642273,48164.40529277986,False,translate_HW,17,17,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=7-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,343.0,7,7,False
37,group=translate_H-full_conv_hc=7-bn=False-drop=0.0-seed17,0.0408956859562307,0.16433577239513397,30043.0,0.9449999928474426,16806.050734402204,0.13877585530281067,1.0194234884999562,0.5543776312824196,31.0,0.9576176404953004,0.962890625,7500000.0,1709405224.0109992,1488.0,13.634330093164062,0.004005733333333333,1529.0,{'runtime': 820},821.9674820899963,0.17272034287452698,30864.707709241164,False,translate_H,17,17,0,False,1024,False,1024,-1,-1,group=translate_H-full_conv_hc=7-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,343.0,7,7,False
38,group=trivial-full_conv_hc=7-bn=False-drop=0.0-seed17,0.04126673547514929,0.18258394300937653,27741.0,0.939300000667572,12451.264567897582,0.2090819776058197,1.0340662027641143,0.44622529614135054,60.0,0.946679711341858,0.9287109375,7500000.0,1709404417.1227713,2880.0,13.78132486578776,0.0036988,2949.0,{'runtime': 893},894.614312171936,0.1866230070590973,28960.32338724471,False,trivial,17,17,0,False,1024,False,1024,-1,-1,group=trivial-full_conv_hc=7-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,343.0,7,7,False
39,group=translate_HW-full_conv_hc=3-bn=False-drop=0.0-seed17,0.038305129435772065,0.159754678606987,13258.0,0.9430999755859376,18570.930732181412,0.12353654950857162,4.537918255607814,1.4093117170370335,44.0,0.960305631160736,0.9638671875,7500000.0,1709404387.7421122,2112.0,17.013044841210935,0.0017677333333333332,2166.0,{'runtime': 957},958.8601741790771,0.18717387318611145,58425.35054686337,False,translate_HW,17,17,0,False,1024,False,1024,-1,-1,group=translate_HW-full_conv_hc=3-bn=False-drop=0.0-seed17,True,True,False,,5,5,750000,750000,147.0,3,3,False
