,Name,_runtime,_step,_timestamp,epoch,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,_wandb,test_accuracy,test_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
37,valiant-sweep-960,715.2131969928741,10949,1727675585.205253,28.0,0.78125,0.5808464884757996,10920,0.8360777497291565,0.47204360365867615,{'runtime': 713},0.7354999780654907,0.7943194508552551,False,0.9,0.999,rot180,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
38,leafy-sweep-959,349.9843444824219,6258,1727675617.6789246,16.0,0.7421875,0.7976232767105103,6240,0.7254807949066162,0.7911892533302307,{'runtime': 348},0.6816999912261963,0.9399734139442444,False,0.9,0.999,rot180,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
39,sandy-sweep-958,480.7133820056915,7822,1727675284.449125,20.0,0.6875,0.8695740699768066,7800,0.7007211446762085,0.8506384491920471,{'runtime': 479},0.6531000137329102,0.9871942400932312,False,0.9,0.999,rot180,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
40,sage-sweep-957,361.2539253234863,7040,1727675253.3031344,18.0,0.671875,1.078585863113403,7020,0.6378806233406067,1.029882550239563,{'runtime': 360},0.6044999957084656,1.1176834106445312,False,0.9,0.999,rot180,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
41,wise-sweep-956,632.6880283355713,10558,1727674857.7629232,27.0,0.6484375,0.9693955183029176,10530,0.564142644405365,1.24259352684021,{'runtime': 630},0.5407999753952026,1.3175309896469116,False,0.9,0.999,rot180,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
42,earthy-sweep-955,639.1458008289337,9386,1727674791.0505989,24.0,0.8125,0.4748978018760681,9360,0.802423894405365,0.5643302202224731,{'runtime': 637},0.7418000102043152,0.7849074006080627,False,0.9,0.999,rot180_and_or_transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
43,charmed-sweep-954,536.3647904396057,9386,1727674876.932835,24.0,0.7265625,0.7649835348129272,9360,0.7457332015037537,0.7570317387580872,{'runtime': 535},0.7038000226020813,0.937131941318512,False,0.9,0.999,rot180_and_or_transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
44,valiant-sweep-953,288.2096779346466,4303,1727674138.1087298,11.0,0.6796875,0.8145091533660889,4290,0.6493990421295166,1.0067331790924072,{'runtime': 287},0.6294000148773193,1.075581669807434,False,0.9,0.999,rot180_and_or_transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
45,solar-sweep-952,556.2226066589355,8603,1727674209.0831857,22.0,0.609375,0.9921145439147948,8580,0.6575720906257629,0.967098355293274,{'runtime': 555},0.6333000063896179,1.0375593900680542,False,0.9,0.999,rot180_and_or_transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
46,charmed-sweep-951,279.6474208831787,4303,1727673833.33031,11.0,0.6171875,1.1087878942489624,4290,0.542387843132019,1.2860841751098633,{'runtime': 278},0.5245000123977661,1.3242738246917725,False,0.9,0.999,rot180_and_or_transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
47,hearty-sweep-950,580.2793688774109,10559,1727674322.5385168,27.0,0.8515625,0.35788217186927795,10530,0.7981570363044739,0.5811534523963928,{'runtime': 579},0.7483999729156494,0.7404745221138,False,0.9,0.999,transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
48,cool-sweep-949,428.2185049057007,6648,1727673636.584606,17.0,0.765625,0.6705400943756104,6630,0.6920673251152039,0.8889484405517578,{'runtime': 426},0.6626999974250793,0.980260133743286,False,0.9,0.999,transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
49,warm-sweep-948,524.8261692523956,8604,1727673537.6340723,22.0,0.7109375,0.815308153629303,8580,0.7033053040504456,0.8438084721565247,{'runtime': 523},0.6783000230789185,0.9131870865821838,False,0.9,0.999,transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
50,zesty-sweep-947,339.86539101600647,5475,1727673193.997183,14.0,0.6640625,1.059877872467041,5460,0.6139022707939148,1.0922174453735352,{'runtime': 338},0.6040999889373779,1.123753309249878,False,0.9,0.999,transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
51,logical-sweep-946,426.1402897834778,7040,1727672999.3586147,18.0,0.609375,1.215190052986145,7020,0.5800080299377441,1.2012245655059814,{'runtime': 424},0.5637999773025513,1.2515065670013428,False,0.9,0.999,transpose,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
52,deep-sweep-945,961.4667017459868,16815,1727673728.1959658,43.0,0.8203125,0.6061689257621765,16770,0.8506209850311279,0.4248131513595581,{'runtime': 960},0.7555999755859375,0.7692120671272278,False,0.9,0.999,flipH_and_or_flipW,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
53,clear-sweep-944,680.7648258209229,10167,1727672836.883005,26.0,0.7890625,0.6237426996231079,10140,0.7572516202926636,0.6991048455238342,{'runtime': 679},0.7052000164985657,0.8709799647331238,False,0.9,0.999,flipH_and_or_flipW,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
54,skilled-sweep-943,368.5416212081909,6649,1727672753.6315205,17.0,0.625,0.9503409266471864,6630,0.6702123284339905,0.945321798324585,{'runtime': 367},0.6432999968528748,1.0447428226470947,False,0.9,0.999,flipH_and_or_flipW,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
55,fragrant-sweep-942,343.7248344421387,6258,1727672368.8738143,16.0,0.640625,1.057260036468506,6240,0.6159455180168152,1.0787150859832764,{'runtime': 342},0.5957000255584717,1.1455528736114502,False,0.9,0.999,flipH_and_or_flipW,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
56,pretty-sweep-941,555.4809095859528,8603,1727672140.020233,22.0,0.5703125,1.2520450353622437,8580,0.5781650543212891,1.1863937377929688,{'runtime': 553},0.5501000285148621,1.2600494623184204,False,0.9,0.999,flipH_and_or_flipW,48,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
