,Name,_step,epoch,train_loss,_runtime,val_loss,_timestamp,val_accuracy,train_accuracy,trainer/global_step,test_loss,test_accuracy,_wandb,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
381,stoic-sweep-418,38542,164.0,0.2554989457130432,1355.0066530704498,0.22739525139331815,1722686305.792392,0.945479452610016,0.9140625,38376,1.2793030738830566,0.64410001039505,{'runtime': 1353},False,0.8372646277792207,0.9909795417557704,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.334396706439579e-05,6,3.856673999509894e-05,32,False
382,denim-sweep-417,133481,568.0,0.33025187253952026,7376.674420595169,0.2845113277435303,1722692008.6749496,0.9287526607513428,0.9296875,132912,1.1524113416671753,0.6509000062942505,{'runtime': 7375},False,0.8471951234615928,0.9937152468590332,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.31269274081238e-05,6,8.534380745252832e-06,32,False
383,glad-sweep-416,11517,49.0,0.21138571202754977,409.87865352630615,0.1609380692243576,1722684937.9285026,0.9450454115867616,0.921875,11466,1.3320579528808594,0.6883000135421753,{'runtime': 408},False,0.8756279905484282,0.9974315277214244,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.833245546829196e-05,6,0.00033689381024047384,32,False
384,breezy-sweep-415,3761,16.0,0.534961998462677,219.98319482803345,0.5356553792953491,1722684619.4054835,0.8099291920661926,0.828125,3744,0.9408976435661316,0.6976000070571899,{'runtime': 218},False,0.8309379731087744,0.9980837050341888,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.901476430020646e-05,6,0.0006074623491169048,32,False
385,colorful-sweep-414,4466,19.0,0.4713917672634125,259.2497091293335,0.48517969250679016,1722684383.831288,0.8273571133613586,0.8046875,4446,0.9693029522895812,0.6916999816894531,{'runtime': 258},False,0.8045124893492804,0.991529735547736,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.614533236465801e-05,6,0.0004699332064474948,32,False
386,clean-sweep-413,8462,36.0,0.18122833967208865,304.1818220615387,0.1944745033979416,1722684515.252638,0.9354634284973145,0.921875,8424,1.153337478637695,0.6998000144958496,{'runtime': 302},False,0.8250058167614891,0.9939976593767426,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.851532425361113e-05,6,0.0004449602148500327,32,False
387,decent-sweep-412,7052,30.0,0.2465510368347168,254.89842438697815,0.31901130080223083,1722684196.2421677,0.8913928866386414,0.9140625,7020,1.0816787481307983,0.6847000122070312,{'runtime': 253},False,0.8267669863201647,0.9911843354741884,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.593366565247681e-05,6,0.00035942872219371397,32,False
388,ruby-sweep-411,8226,35.0,0.2100566029548645,465.8101229667664,0.18576864898204803,1722684109.219269,0.9317574501037598,0.9453125,8190,1.1906251907348633,0.7189000248908997,{'runtime': 464},False,0.817110052288352,0.9976752952168376,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.505116320104308e-06,6,0.000810857870771215,32,False
389,northern-sweep-410,11987,51.0,0.24030642211437225,426.5752604007721,0.13427744805812836,1722683928.0730734,0.9628405570983888,0.9296875,11934,1.2561500072479248,0.6859999895095825,{'runtime': 425},False,0.8779418638188691,0.992578711572218,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.302609383882646e-05,6,0.0002656611109728242,32,False
390,upbeat-sweep-409,9401,40.0,0.21705295145511627,533.5223476886749,0.17845314741134644,1722683626.6015108,0.9438101053237916,0.9375,9360,1.1706637144088743,0.6924999952316284,{'runtime': 532},False,0.829507814236205,0.9989057095481984,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.374201945977815e-05,6,0.0003565199013346759,32,False
