,Name,val_loss,val_accuracy,test_accuracy,total_num_knots,_runtime,total_smoothness,trainer/global_step,expected_knot_entropy,expected_gradient_norm,expected_knot_uniformity,_step,_timestamp,epoch,test_loss,total_max_knots_countable,_wandb,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,plot_knots,log_results,min_step_eps,weight_decay,hidden_layers,learning_rate,evaluate_batch_size,random_init_weights,hidden_group_channels,sanity_check_equivariance,ctrl_points_per_interpolation
36,kind-sweep-2964,0.381301075220108,0.9233333468437196,0.9100000262260436,146,3.3249363899230957,128.14978193697073,0,2.2590715690515557,0.8226204514503479,0.008140721543218118,2,1715985669.1894157,0,0.37627974152565,19922944.0,{'runtime': 0},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
37,vague-sweep-2963,0.03982505202293396,0.9907143115997314,0.993499994277954,238,2.475553035736084,10097.484080076218,0,2.02446461245907,6.3446760177612305,0.022202542623682747,2,1715985652.239099,0,0.03690087050199509,19922944.0,{'runtime': 1},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
38,fallen-sweep-2962,0.7083338499069214,0.5099999904632568,0.41999998688697815,150,2.1577889919281006,0.8605310265385242,0,2.0752322898651916,0.06910993158817291,0.004827763639229313,2,1715985635.943028,0,0.6891093254089355,19922944.0,{'runtime': 0},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
39,unique-sweep-2961,0.02544121816754341,0.9908571243286132,0.993499994277954,208,2.508310317993164,23009.02100534365,0,2.09356502697271,10.318923950195312,0.018580054948287617,2,1715985620.1993072,0,0.019224556162953377,19922944.0,{'runtime': 1},True,0.9,0.999,flipH_and_or_flipW,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
40,unique-sweep-2960,0.03904004395008087,1.0,0.9900000095367432,850,2.252228021621704,1880.1355546712875,0,2.2136296693429456,4.837093353271484,0.0048175324421801235,2,1715985595.680672,0,0.05289299786090851,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
41,magic-sweep-2959,0.01270234491676092,0.9961428642272948,0.993499994277954,792,2.493689775466919,3778.6201068088417,0,2.192407816643481,9.065884590148926,0.004444127264106457,2,1715985574.6650827,0,0.016434146091341972,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
42,earthy-sweep-2958,0.10661523044109344,1.0,0.9800000190734864,531,2.2386739253997803,874.3674086928368,0,2.177039434961709,3.024006605148315,0.0032012776112073423,2,1715985552.8149068,0,0.10222956538200378,19922944.0,{'runtime': 0},True,0.9,0.999,flipH,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
43,true-sweep-2957,0.00944184511899948,0.9964285492897034,0.9955000281333924,555,2.389277219772339,7100.358196139336,0,2.1245815193215725,10.415550231933594,0.003158533936695689,2,1715985536.8922622,0,0.01120651327073574,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
44,classic-sweep-2956,0.06037710979580879,0.996666669845581,1.0,441,2.280395746231079,1418.6924080848694,0,2.2387277259225304,4.0164690017700195,0.004304887567938005,2,1715985520.7881796,0,0.06782148778438568,19922944.0,{'runtime': 0},True,0.9,0.999,flipH,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
45,brisk-sweep-2955,0.014830456115305424,0.9937142729759216,0.9955000281333924,438,2.4324660301208496,6112.075538635254,0,2.1257441038518468,8.857010841369629,0.002026112353694442,2,1715985504.876915,0,0.011121641844511032,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
