,Name,_timestamp,num_polygons,test_accuracy,smoothness_penalty,expected_gradient_norm,fraction_polygons_counted,_wandb,test_loss,smoothness_squared_penalty_per_polygon,val_accuracy,smoothness_penalty_per_polygon,_step,val_loss,fraction_single_pixel_polygons,epoch,total_num_interpolations,train_accuracy,trainer/global_step,smoothness_squared_penalty,_runtime,train_loss,cpu,pool,group,aa-seed,aa_seed,augment,dropout,ablation,batch-norm,batch-size,batch_norm,batch_size,max-epochs,max_epochs,model_name,log-results,log_results,plot_polygons,model_save_dir,num-interpolations,num_interpolations,hidden-group-channels,hidden_group_channels,sanity_check_equivariance,patience
30,group=D4-group-hc=96-bn=True-drop=0.0-pool=max-seed15,1705148412.5952904,2360574,0.9596199989318848,29142.769628457725,5.464337076106771,0.1573716,{'runtime': 1595},0.126325786113739,0.0014456513610585108,0.9741881489753724,0.012914007328611098,450,0.12405060976743698,0.4522043913736719,44,15000000,0.982421875,396,3189.354283291963,1596.4789814949036,0.04562312737107277,False,max,D4,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=96-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,96,96,False,5.0
31,group=D4-group-hc=68-bn=True-drop=0.0-pool=max-seed15,1705147361.135087,966330,0.9590799808502196,51410.56205174327,4.477017170247396,0.06442200000000001,{'runtime': 1250},0.127135768532753,0.01156455808181502,0.9675270318984984,0.05348667113355169,380,0.12597300112247467,0.0740832577574288,37,15000000,0.9736328125,333,11160.332437778356,1251.581169128418,0.07659188657999039,False,max,D4,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=68-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,68,68,False,
32,group=D4-group-hc=48-bn=True-drop=0.0-pool=max-seed15,1705146801.0843904,1946346,0.9537400007247924,28604.591741066422,4.253568312858073,0.1297564,{'runtime': 1166},0.1495617926120758,0.0015412535862755496,0.9583680033683776,0.015715606518939364,300,0.1495366394519806,0.40708409546155455,29,15000000,0.9599609375,261,2664.5094623874174,1167.6279253959656,0.12353826314210892,False,max,D4,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=48-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,48,48,False,5.0
33,group=D4-group-hc=34-bn=True-drop=0.0-pool=max-seed15,1705146092.078172,681265,0.9371200203895568,43928.37089416757,3.3980462374511715,0.04541766666666666,{'runtime': 1082},0.1990012526512146,0.012066054034962442,0.9493130445480348,0.0644316998730746,420,0.19559846818447113,0.05933860848374053,41,15000000,0.958984375,369,8136.318103679898,1083.8063869476318,0.13765431940555573,False,max,D4,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=34-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,34,34,False,
34,group=D4-group-hc=24-bn=True-drop=0.0-pool=max-seed15,1705145619.2204134,215151,0.9251800179481506,6875.036583254754,3.1951939315592446,0.0143434,{'runtime': 976},0.2399056851863861,0.006476071222850262,0.934013307094574,0.032364663507865175,340,0.2445545345544815,0.15130196347624145,33,15000000,0.9287109375,297,1290.7269566857424,977.4163863658904,0.20811715722084043,False,max,D4,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=D4-group-hc=24-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,24,24,False,5.0
35,group=trivial-group-hc=96-bn=True-drop=0.0-pool=max-seed15,1705144991.1529703,1027316,0.9241999983787536,23092.777216777205,3.3538522641682937,0.06848773333333333,{'runtime': 1421},0.23329314589500427,0.003889251269204901,0.9322439432144164,0.02260856333513041,300,0.23536746203899384,0.07665330781957895,29,15000000,0.9248046875,261,3876.786120875273,1422.8429443836212,0.22958052158355713,False,max,trivial,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=96-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,96,96,False,
36,group=trivial-group-hc=68-bn=True-drop=0.0-pool=max-seed15,1705144624.115988,1387191,0.9224600195884703,9148.965661534108,3.5529928429361974,0.0924794,{'runtime': 1266},0.2388848662376404,0.0010284909486853486,0.9270399808883668,0.0075054440781291394,250,0.23718947172164917,0.3757376605806789,24,15000000,0.9306640625,216,1233.0265261451827,1267.4695489406586,0.20514190196990967,False,max,trivial,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=68-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,68,68,False,5.0
37,group=trivial-group-hc=48-bn=True-drop=0.0-pool=max-seed15,1705143551.267542,819621,0.9205999970436096,31153.8490826264,3.5685647542805987,0.05464140000000001,{'runtime': 1109},0.24728551506996155,0.009223083889558706,0.927456259727478,0.03830924325911556,300,0.24597983062267303,0.06558579037631175,29,15000000,0.9345703125,261,7730.026479139287,1110.4159882068634,0.21722277998924255,False,max,trivial,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=48-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,48,48,False,
38,group=trivial-group-hc=34-bn=True-drop=0.0-pool=max-seed15,1705143343.4142785,247145,0.9212599992752076,6566.231911856274,4.126860812825521,0.016476333333333336,{'runtime': 1034},0.2450300008058548,0.006446888533469574,0.9255828261375428,0.02576566659855383,410,0.2424669861793518,0.16150469099432688,40,15000000,0.927734375,360,1611.9987352205587,1035.6181704998016,0.23770570755004883,False,max,trivial,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=34-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,34,34,False,5.0
39,group=trivial-group-hc=24-bn=True-drop=0.0-pool=max-seed15,1705142425.002754,356880,0.90829998254776,21296.135399754552,4.195917243522135,0.023792,{'runtime': 945},0.28418225049972534,0.01643370399865383,0.9149146676063538,0.05990352022094153,470,0.2830623686313629,0.04957201222835453,46,15000000,0.923828125,414,5873.641389696757,946.2997529506684,0.24133828282356265,False,max,trivial,15,15,rotflip,0,False,True,1024,True,1024,-1,-1,group=trivial-group-hc=24-bn=True-drop=0.0-pool=max-seed15,True,True,False,,1500000,1500000,24,24,False,
